ID,Record,Subject,Test,Session,Rep,TestVer,Battery,BatVer,AresVer,Seed,Date,Start_Time,Dur,Stim,Cor,Err,Imp,Lap,ITI,mRTC,mRTE,mRTA,sdRTC,sdRTE,sdRTA,medRTC,medRTE,medRTA,TPut,Stim1,Cor1,Err1,Imp1,Lap1,ITI1,mRTC1,mRTE1,mRTA1,sdRTC1,sdRTE1,sdRTA1,medRTC1,medRTE1,medRTA1,TPut1,Stim2,Cor2,Err2,Imp2,Lap2,ITI2,mRTC2,mRTE2,mRTA2,sdRTC2,sdRTE2,sdRTA2,medRTC2,medRTE2,medRTA2,TPut2,spare1,spare2,spare3,spare4,spare5,sparestring
26,354,C1G0001,Matching To Sample,32,0,1.23,ARES_JSC1,1,1.27,32,9/23/2004,2:07:38 AM,154,10,8,2,0,0,11,2437,2810,2512,867,2107,1050,2535,2810,2810,19,5,5,0,0,0,7,2524,NA,2524,795,NA,795,2165,NA,NA,23,5,3,2,0,0,4,2293,2810,2500,1148,2107,1360,1925,2810,2810,14,0,0,0,0,0,NA
27,369,C1G0001,Matching To Sample,33,0,1.23,ARES_JSC1,1,1.27,33,9/23/2004,2:12:28 AM,136,10,10,0,0,0,11,1163,NA,1163,140,NA,140,1145,NA,NA,51,5,5,0,0,0,7,1216,NA,1216,106,NA,106,1175,NA,NA,49,5,5,0,0,0,4,1110,NA,1110,160,NA,160,1090,NA,NA,54,0,0,0,0,0,NA
28,378,C1G0001,Matching To Sample,34,0,1.23,ARES_JSC1,1,1.27,34,9/23/2004,2:19:19 AM,140,10,8,2,0,0,11,1197,2345,1427,205,586,552,1205,2345,2345,33,5,4,1,0,0,7,1135,1930,1294,118,0,370,1180,1930,1930,37,5,4,1,0,0,4,1260,2760,1560,272,0,711,1320,2760,2760,30,0,0,0,0,0,NA
29,384,C1G0001,Matching To Sample,35,0,1.23,ARES_JSC1,1,1.27,35,9/24/2004,2:07:52 AM,158,10,9,1,0,0,11,2226,1070,2111,843,0,875,2180,1070,1070,25,5,5,0,0,0,7,2014,NA,2014,830,NA,830,1910,NA,NA,29,5,4,1,0,0,4,2492,1070,2208,897,0,1004,2500,1070,1070,21,0,0,0,0,0,NA
30,390,C1G0001,Matching To Sample,36,0,1.23,ARES_JSC1,1,1.27,36,9/24/2004,2:12:41 AM,141,10,6,4,0,0,11,1703,2382,1975,506,463,580,1560,2355,2355,18,5,4,1,0,0,7,1932,2040,1954,463,0,404,1875,2040,2040,24,5,2,3,0,0,4,1245,2496,1996,91,493,770,1245,2305,2305,12,0,0,0,0,0,NA
31,403,C1G0001,Matching To Sample,37,0,1.23,ARES_JSC1,1,1.27,37,9/24/2004,2:18:34 AM,184,10,8,2,0,0,11,1563,2930,1837,675,466,843,1345,2930,2930,26,5,4,1,0,0,7,1805,3260,2096,775,0,935,1605,3260,3260,22,5,4,1,0,0,4,1322,2600,1578,554,0,746,1175,2600,2600,30,0,0,0,0,0,NA
32,406,C1G0001,Matching To Sample,38,0,1.23,ARES_JSC1,1,1.27,38,9/25/2004,2:08:06 AM,140,10,10,0,0,0,11,1864,NA,1864,768,NA,768,1760,NA,NA,32,5,5,0,0,0,7,1564,NA,1564,436,NA,436,1375,NA,NA,38,5,5,0,0,0,4,2164,NA,2164,956,NA,956,1685,NA,NA,27,0,0,0,0,0,NA
33,415,C1G0001,Matching To Sample,39,0,1.23,ARES_JSC1,1,1.27,39,9/25/2004,2:13:09 AM,138,10,7,3,0,0,11,1391,2223,1641,474,414,591,1235,2035,2035,25,5,4,1,0,0,7,1540,2600,1752,612,0,711,1325,2600,2600,27,5,3,2,0,0,4,1193,2035,1530,104,360,500,1135,2035,2035,23,0,0,0,0,0,NA
34,424,C1G0001,Matching To Sample,40,0,1.23,ARES_JSC1,1,1.27,40,9/25/2004,2:18:32 AM,141,10,10,0,0,0,11,1911,NA,1911,1048,NA,1048,1535,NA,NA,31,5,5,0,0,0,7,1356,NA,1356,246,NA,246,1385,NA,NA,44,5,5,0,0,0,4,2466,NA,2466,1282,NA,1282,2080,NA,NA,24,0,0,0,0,0,NA
35,439,C1G0001,Matching To Sample,41,0,1.23,ARES_JSC1,1,1.27,41,9/26/2004,2:10:21 AM,143,10,9,1,0,0,11,1587,1920,1621,524,0,505,1355,1920,1920,33,5,4,1,0,0,7,1712,1920,1754,639,0,561,1465,1920,1920,27,5,5,0,0,0,4,1488,NA,1488,463,NA,463,1185,NA,NA,40,0,0,0,0,0,NA
36,442,C1G0001,Matching To Sample,42,0,1.23,ARES_JSC1,1,1.27,42,9/26/2004,2:13:01 AM,153,10,10,0,0,0,11,1695,NA,1695,844,NA,844,1375,NA,NA,35,5,5,0,0,0,7,1688,NA,1688,1116,NA,1116,1150,NA,NA,35,5,5,0,0,0,4,1702,NA,1702,599,NA,599,1375,NA,NA,35,0,0,0,0,0,NA
37,451,C1G0001,Matching To Sample,43,0,1.23,ARES_JSC1,1,1.27,43,9/26/2004,2:20:32 AM,142,10,8,2,0,0,11,1677,1755,1693,719,261,641,1565,1755,1755,28,5,5,0,0,0,7,1510,NA,1510,856,NA,856,1120,NA,NA,39,5,3,2,0,0,4,1956,1755,1876,395,261,327,1755,1755,1755,19,0,0,0,0,0,NA
38,466,C1G0001,Matching To Sample,44,0,1.23,ARES_JSC1,1,1.27,44,9/27/2004,2:07:31 AM,140,10,9,1,0,0,11,1428,3790,1665,518,0,892,1185,3790,3790,32,5,5,0,0,0,7,1366,NA,1366,557,NA,557,1095,NA,NA,43,5,4,1,0,0,4,1507,3790,1964,537,0,1121,1305,3790,3790,24,0,0,0,0,0,NA
39,472,C1G0001,Matching To Sample,45,0,1.23,ARES_JSC1,1,1.27,45,9/27/2004,2:12:16 AM,157,10,8,2,0,0,11,1826,2685,1998,572,1477,792,1675,2685,2685,24,5,5,0,0,0,7,1628,NA,1628,607,NA,607,1450,NA,NA,36,5,3,2,0,0,4,2156,2685,2368,382,1477,838,1980,2685,2685,15,0,0,0,0,0,NA
